lesson;id;category;fr_word;fr_genus;fr_needs_vowel_article;fr_sentence;de_word;de_genus;de_sentence
1;99;phrase;;;;Le temps semble suspendu au fil des conversations.;;;Die Zeit scheint während der Gespräche stillzustehen.
1;100;nom;frisson;m.;false;J’ai ressenti un frisson de joie.;Kribbeln;n.;Ich habe einen Freudenschauer gespürt.
1;101;nom;rotin;m.;false;Elle s’assoit sur une chaise en rotin.;Rattan;n.;Sie setzt sich auf einen Rattanstuhl.
1;102;expression;malgré moi;;;J’ai souri malgré moi.;unwillkürlich;;Ich habe unwillkürlich gelächelt.
1;103;expression;une passion m’a gagnée;;;Peu à peu, une passion m’a gagnée.;eine Leidenschaft hat mich gepackt;;Nach und nach hat mich eine Leidenschaft ergriffen.
1;104;adjectif;rayonnante;;;Elle est rayonnante de bonheur.;strahlend;;Sie strahlt vor Glück.
1;105;expression;céder à une tentation;;;Il a cédé à la tentation d’acheter ce tableau.;einer Versuchung erliegen;;Er ist der Versuchung erlegen, das Bild zu kaufen.
1;106;adjectif;embrumé;;;Le paysage est embrumé ce matin.;neblig, benebelt;;Die Landschaft ist heute Morgen neblig.
1;107;nom;portefeuille;m.;false;J’ai perdu mon portefeuille.;Brieftasche;f.;Ich habe meine Brieftasche verloren.
1;108;nom;coupure;f.;false;Il a payé en petites coupures.;Geldschein;m.;Er hat mit kleinen Scheinen bezahlt.
1;109;verbe;arpenter;;;Ils arpentent les allées du marché.;schlendern;;Sie schlendern durch die Gänge des Marktes.
1;110;adjectif;insolite;;;C’est un objet insolite.;ungewöhnlich;;Das ist ein ungewöhnlicher Gegenstand.
1;111;verbe;rapporter;;;J’ai rapporté un souvenir de Paris.;mitbringen;;Ich habe ein Souvenir aus Paris mitgebracht.
1;112;nom;magie;f.;false;On sent la magie du lieu.;Magie;f.;Man spürt die Magie des Ortes.
