lesson;id;category;fr_word;fr_genus;fr_needs_vowel_article;fr_sentence;de_word;de_genus;de_sentence
3;23;verbe;geler;;;L’eau commence à geler.;gefrieren;;Das Wasser beginnt zu gefrieren.
3;24;verbe;patiner;;;Nous aimons patiner en hiver.;Schlittschuh laufen;;Wir laufen im Winter gern Schlittschuh.
3;25;verbe;déneiger;;;Il faut déneiger l’allée.;Schnee räumen;;Man muss den Weg vom Schnee befreien.
3;26;verbe;faire de la luge;;;Les enfants adorent faire de la luge.;Schlitten fahren;;Die Kinder rodeln gern.
3;27;nom;téléphérique;m.;false;Le téléphérique monte jusqu’au sommet.;Seilbahn;f.;Die Seilbahn fährt bis zum Gipfel.
3;28;nom;canon à neige;m.;false;Un canon à neige fonctionne toute la nuit.;Schneekanone;f.;Die Schneekanone läuft die ganze Nacht.
3;29;nom;borne de recharge;f.;false;Une borne de recharge est installée près du parking.;Ladestation;f.;Neben dem Parkplatz steht eine Ladestation.
3;30;verbe;s’échapper;;;La fumée s’échappe de la cheminée.;entweichen;;Der Rauch entweicht aus dem Schornstein.
3;31;verbe;démarrer;;;La voiture démarre sans problème.;starten;;Das Auto startet ohne Probleme.
3;32;verbe;décoller;;;L’avion décolle à 15 heures.;abheben;;Das Flugzeug hebt um 15 Uhr ab.
3;33;nom;décollage;m.;false;Le décollage de l’avion a été retardé.;Start;m.;Der Start des Flugzeugs hat sich verzögert.
3;34;verbe;atterrir;;;L’avion va atterrir dans quelques minutes.;landen;;Das Flugzeug wird in wenigen Minuten landen.
3;35;nom;atterrissage;m.;true;L’atterrissage s’est bien passé.;Landung;f.;Die Landung ist gut verlaufen.
3;36;nom;méduse;f.;false;Une méduse flotte près de la plage.;Qualle;f.;Eine Qualle treibt in der Nähe des Strands.
3;37;nom;double/triple vitrage;m.;false;Un double vitrage améliore l’isolation.;Doppel-/Dreifachverglasung;f.;Eine Doppel- oder Dreifachverglasung verbessert die Dämmung.
3;38;nom;kérosène;m.;false;Le kérosène est utilisé comme carburant d’avion.;Kerosin;n.;Kerosin wird als Flugzeugtreibstoff verwendet.
3;39;nom;pompe à chaleur;f.;false;Une pompe à chaleur chauffe la maison.;Wärmepumpe;f.;Eine Wärmepumpe heizt das Haus.
3;40;verbe;enlever des arbres;;;Il faut enlever des arbres pour construire la route.;Bäume entfernen;;Man muss Bäume entfernen, um die Straße zu bauen.
3;41;nom;arbuste;m.;true;Un arbuste pousse près de la haie.;Strauch;m.;Ein Strauch wächst neben der Hecke.
3;42;nom;verdure;f.;false;La verdure du parc est magnifique.;Grün;n.;Das Grün des Parks ist wunderschön.
3;43;nom;couronne (d’un arbre);f.;false;La couronne de l’arbre est très large.;Baumkrone;f.;Die Baumkrone ist sehr ausladend.
3;44;verbe;déborder;;;La rivière a débordé après la pluie.;über die Ufer treten;;Der Fluss ist nach dem Regen über die Ufer getreten.
3;45;verbe;abattre;;;Il faut abattre cet arbre malade.;fällen;;Dieser kranke Baum muss gefällt werden.
3;46;nom;panneau solaire;m.;false;Un panneau solaire produit de l’électricité.;Solarpanel;n.;Ein Solarpanel erzeugt Strom.
3;47;nom;forage;m.;false;Le forage a atteint une nappe d’eau.;Bohrung;f.;Die Bohrung hat eine Wasserader erreicht.
3;48;adjectif;abîmé;;;Le meuble est abîmé par l’humidité.;beschädigt;;Das Möbelstück ist durch die Feuchtigkeit beschädigt.
3;49;nom;rail;m.;false;Les rails du train doivent être entretenus.;Schiene;f.;Die Bahnschienen müssen gewartet werden.
3;50;verbe;soutenir;;;Il faut soutenir ce projet.;unterstützen;;Man muss dieses Projekt unterstützen.
3;51;nom;stockage;m.;false;Le stockage de l’énergie est un défi.;Speicher;m.;Die Energiespeicherung ist eine Herausforderung.
3;52;nom;tier;m.;false;Un tiers des habitants a signé la pétition.;Drittel;n.;Ein Drittel der Einwohner hat die Petition unterschrieben.
3;53;nom;chauffe-eau instantané;m.;false;Un chauffe-eau instantané fournit de l’eau chaude immédiatement.;Durchlauferhitzer;m.;Ein Durchlauferhitzer liefert sofort heißes Wasser.
3;54;expression;Ça nous arrange bien;;;Ça nous arrange bien que tu puisses venir.;das passt uns gut;;Es passt uns gut, dass du kommen kannst.
3;55;nom;amortissement;m.;true;L’amortissement de l’investissement est prévu en cinq ans.;Amortisation;f.;Die Amortisation der Investition ist in fünf Jahren geplant.
3;56;nom;carrelage;m.;false;Le carrelage de la cuisine est neuf.;Kachel;f.;Die Kacheln in der Küche sind neu.
3;57;nom;haut-parleur;m.;true;Un haut-parleur diffuse la musique.;Lautsprecher;m.;Ein Lautsprecher gibt die Musik wieder.
3;58;nom;épaisseur;f.;true;L’épaisseur du mur est de 40 centimètres.;Dicke;f.;Die Dicke der Wand beträgt 40 cm.
3;59;expression;ne guère pousser à qc;;;Il ne pousse guère à la prudence.;kaum zu etwas drängen;;Er drängt kaum zu Vorsicht.
3;60;nom;prévision;f.;false;La prévision météo annonce de la pluie.;Vorhersage;f.;Die Wettervorhersage meldet Regen.
3;61;nom;prédiction;f.;false;La prédiction s’est révélée exacte.;Prognose;f.;Die Prognose hat sich als zutreffend erwiesen.
3;62;nom;dégât;m.;false;Les dégâts de la tempête sont importants.;Schaden;m.;Die Sturmschäden sind erheblich.
